"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0.5",0.09,0.064335032560063,0.5,2217,0.973123149593982,0.87240372974769,"no","no"
"0.5",0.1,0.086371052294231,0.5,5051,1.00910012914947,0.895191743451662,"no","no"
"0.5",0.11,0.347487906422147,0.5,12531,1.06954553942107,0.919738168511114,"yes","no"
"0.5",0.12,0.503906077741059,0.5,12431,1.14223581533867,0.945901431644407,"yes","no"
"0.5",0.13,0.614265365168614,0.5,12417,1.20899098201479,0.973557606464564,"yes","no"
"0.5",0.14,0.688894836920178,0.5,12408,1.27457173388327,1.00258721053862,"yes","yes"
"0.5",0.15,0.734399904638915,0.5,12402,1.33561972495627,1.03287735991693,"yes","yes"
"0.5",0.16,0.762228469268574,0.5,12397,1.39224548166278,1.06432099147041,"yes","yes"
"0.5",0.17,0.779917761034224,0.5,12395,1.4460989236588,1.09681648507424,"yes","yes"
"0.5",0.18,0.791682421877134,0.5,12393,1.49847640979658,1.13026805437022,"yes","yes"
"0.5",0.19,0.799803221914554,0.5,12391,1.55015156171877,1.16458586218723,"yes","yes"
"0.5",0.2,0.805560954199269,0.5,12390,1.60154957140997,1.19968907648674,"yes","yes"
"0.5",0.21,0.809702111393032,0.5,12388,1.65290399135551,1.23550556655838,"yes","yes"
"0.5",0.22,0.81271950924653,0.5,12387,1.70434193733185,1.27197313512694,"yes","yes"
"0.5",0.23,0.814935654939615,0.5,12386,1.75593356077269,1.30903735364765,"yes","yes"
"0.5",0.24,0.816581810283164,0.5,12386,1.80771996494944,1.34665051022915,"yes","yes"
"0.5",0.25,0.817809075842581,0.5,12385,1.85972618747744,1.3847696427633,"yes","yes"
"0.5",0.26,0.818735216238273,0.5,12384,1.91196512466937,1.42335616840201,"yes","yes"
"0.5",0.27,0.819439836617602,0.5,12384,1.96444353388126,1.46237453165079,"yes","yes"
"0.5",0.28,0.819981720748186,0.5,12384,2.01716227537156,1.50179196331321,"yes","yes"
"0.5",0.29,0.820390048788836,0.5,12383,2.07011860369527,1.54157895752961,"yes","yes"
"0.5",0.3,0.82071078523828,0.5,12383,2.12330733726244,1.58170794285454,"yes","yes"
"0.5",0.31,0.82095557048509,0.5,12383,2.17672251427411,1.62215408372748,"yes","yes"
"0.5",0.32,0.821137886539965,0.5,12383,2.23035690873049,1.66289408016987,"yes","yes"
"0.5",0.33,0.821285159622804,0.5,12383,2.28420326209598,1.70390739408892,"yes","yes"
"0.5",0.34,0.821390477859183,0.5,12384,2.33825289272373,1.74517499683515,"yes","yes"
"0.5",0.35,0.821465428283214,0.5,12384,2.39249969999585,1.7866789113766,"yes","yes"
"0.5",0.36,0.821521326612612,0.5,12384,2.44693487796881,1.82840361572379,"yes","yes"
"0.5",0.37,0.821557241975335,0.5,12384,2.50155173903589,1.87033382236291,"yes","yes"
"0.5",0.38,0.821577085928248,0.5,12384,2.55634361965562,1.91245665559306,"yes","yes"
"0.5",0.39,0.821584695683908,0.5,12385,2.61130337605369,1.95475958747252,"yes","yes"
